section,question,headline,metric,reading,evidence_level,primary_artifact,priority_order,analysis_captured_at
Models,Who leads the current frontier-family signal?,GPT,78.2 heuristic index,"2 families stay in the top tier across sensitivity variants; read the rank as a weighted public-signal index, not a universal model score.",observed,company_frontier_scores.csv,1,2026-05-16T17:13:09+00:00
Evidence,Where is model-level evidence strongest?,GPT,120 direct benchmark matches,Direct matches are the cleanest deployability evidence; family-only rows stay visible so the report does not borrow certainty from proxy data.,direct_match,family_coverage_matrix.csv,2,2026-05-16T17:13:09+00:00
Forecast,Who wins the 10-year frontier-quality stress test?,GPT,58.7% simulation share,"This is a sensitivity share from perturbed component weights, not a calibrated probability or prediction-market number.",scenario,company_next_frontier_probabilities.csv,3,2026-05-16T17:13:09+00:00
Open Ecosystem,"Who benefits if distribution, openness and cost matter more?",Qwen,70.3% simulation share,"The answer can differ from raw frontier-quality leadership because openness, cost and ecosystem pull are separate adoption axes.",scenario,company_next_frontier_probabilities.csv,4,2026-05-16T17:13:09+00:00
Open vs Closed,Where is the open-vs-closed gap largest?,text to image,361.6 arena rating points,The report treats catch-up as category-specific. A single open-vs-closed headline hides large differences by task domain.,observed,open_closed_gap_by_category.csv,5,2026-05-16T17:13:09+00:00
Economics,Which directly matched model sits highest on price-performance?,OpenAI: GPT-4.1 Nano,92.2 direct index,"This view uses direct model-level benchmark evidence, avoiding the family-proxy shortcut used in the broader efficient-frontier screen.",direct_match,direct_model_price_performance.csv,6,2026-05-16T17:13:09+00:00
Labor,Which occupation has the highest near-term pressure index?,Data Entry Keyers,60.2 disruption index,"The score combines observed exposure, task structure and bottlenecks; it is pressure for redesign, not a claim that the occupation disappears.",observed,job_exposure_scores.csv,7,2026-05-16T17:13:09+00:00
Labor,Where is whole-job replacement most feasible after gates?,Market Research Analysts and Marketing Specialists,39.0 feasibility index,"The replacement gate keeps physical, trust, regulatory and accountability bottlenecks in the calculation before labeling any role replaceable.",observed,job_replacement_feasibility.csv,8,2026-05-16T17:13:09+00:00
Workflows,Which business domain should a reader inspect first?,finance analysis,38.9 disruption index,Domain pressure translates occupation evidence into business language while preserving example occupations and human gates.,family_proxy,business_domain_ai_pressure.csv,9,2026-05-16T17:13:09+00:00
Execution,Which family shows the most visible recent release velocity?,GPT,66 releases in 365 days,"Cadence is a public execution signal and should be read beside quality, price and evidence depth rather than as a standalone rank.",observed,release_cadence_by_family.csv,10,2026-05-16T17:13:09+00:00
Coverage,How fresh is the visible source layer?,2026-05-15,"1,327,480 source rows tracked","Freshness and missingness are surfaced before the report leans on rankings, which makes stale-source risk easier to spot.",observed,source_coverage_diagnostics.csv,11,2026-05-16T17:13:09+00:00
Uncertainty,How many family ranks are stable under evidence-scaled stress?,6 stable rank bands,11 families stress-tested,Rank bands are sensitivity diagnostics rather than calibrated confidence intervals.,scenario,rank_stability_intervals.csv,12,2026-05-16T17:13:09+00:00
Risk,What should a reviewer challenge first?,3 high-severity assumptions,Named failure modes,The skeptical layer is part of the product: it names how the analysis can break and points to mitigation artifacts.,speculative,claim_failure_modes.csv,13,2026-05-16T17:13:09+00:00
