scenario,scenario_description,horizon_years,target_year,model_family,simulation_win_share,simulated_score_mean,simulated_score_p10,simulated_score_p90,draws,method,analysis_captured_at
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",2,2028,GPT,0.6495,78.97,75.0,83.07,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",2,2028,Qwen,0.3505,77.36,73.56,81.23,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",2,2028,Mistral,0.0,49.82,45.67,54.09,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",2,2028,Claude,0.0,56.44,52.47,60.39,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",2,2028,Llama,0.0,45.61,40.67,50.48,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",2,2028,DeepSeek,0.0,48.1,43.78,52.4,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",2,2028,Gemini,0.0,53.3,49.22,57.38,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",2,2028,Gemma,0.0,38.88,34.49,43.37,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",2,2028,Phi,0.0,27.68,23.24,32.21,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",2,2028,Grok,0.0,32.17,28.26,36.15,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",2,2028,Command,0.0,17.18,12.81,21.46,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
