table,rows,columns,captured_at,source_ids,source_names,latest_source_date,release_date_coverage,price_coverage,access_class_coverage,benchmark_value_coverage,context_window_coverage,organization_vendor_coverage,columns_present,analysis_captured_at
epoch_models_normalized,3525,25,2026-05-16T07:06:27+00:00,epoch_ai_models,epoch_ai_models,2026-04-24,0.9935,0.0,1.0,0.0,0.0,1.0,"model_id,canonical_model,vendor,model_family,product_line,family,source_vendor,release_date,release_precision,domain,task,country,parameters,active_parameters,training_compute_flop,training_tokens,training_compute_cost_2023_usd,model_accessibility,open_model_weights,access_class,frontier_model,reference,source_url,source_id,confidence",2026-05-16T17:13:09+00:00
github_ai_repositories,1395,17,2026-05-16T07:06:27+00:00,github_search_api,GitHub repository search API,2026-05-15,1.0,0.0,0.0,0.0,0.0,0.0,"full_name,owner,name,html_url,description,language,stars,forks,watchers,open_issues,license_spdx,created_at,updated_at,pushed_at,query,source_url,source_id",2026-05-16T17:13:09+00:00
github_ai_repository_topics,13746,4,2026-05-16T07:06:27+00:00,github_search_api,GitHub repository search API,,0.0,0.0,0.0,0.0,0.0,0.0,"full_name,topic,topic_slug,source_id",2026-05-16T17:13:09+00:00
github_model_mentions,703,4,2026-05-16T07:06:27+00:00,"github_search_api,derived_regex_mentions",GitHub repository search API; Regex-derived model mentions from public text metadata,,0.0,0.0,0.0,0.0,0.0,0.0,"full_name,family,mention,source_id",2026-05-16T17:13:09+00:00
huggingface_model_files,5256,12,2026-05-16T07:06:27+00:00,huggingface_model_tree_api,Hugging Face model repository tree API,,0.0,0.0,0.0,0.0,0.0,0.0,"model_id,path,type,extension,size_bytes,lfs_size_bytes,is_lfs,is_weight_file,is_config_file,source_url,source_id,error",2026-05-16T17:13:09+00:00
huggingface_model_rollups,2574,36,2026-05-16T07:06:27+00:00,"huggingface_models_api,huggingface_model_tree_api",Hugging Face public models API; Hugging Face model repository tree API,2026-05-15,1.0,0.0,1.0,0.0,0.0,1.0,"model_id,author,collection,vendor,model_family,product_line,family,access_class,downloads,likes,pipeline_tag,library_name,created_at,last_modified,private,gated,disabled,sha,license,base_model,language,datasets,tags_count,parameters_inferred_from_id,source_url,source_id,file_count,total_file_bytes,lfs_file_bytes,weight_file_count,config_file_count,has_eval_results,has_safetensors,has_text_generation_inference,arxiv_tags,base_model_tags",2026-05-16T17:13:09+00:00
huggingface_model_tags,36737,4,2026-05-16T07:06:27+00:00,huggingface_models_api,Hugging Face public models API,,0.0,0.0,0.0,0.0,0.0,0.0,"model_id,tag,tag_slug,source_id",2026-05-16T17:13:09+00:00
huggingface_models,2574,26,2026-05-16T07:06:27+00:00,huggingface_models_api,Hugging Face public models API,2026-05-15,1.0,0.0,1.0,0.0,0.0,1.0,"model_id,author,collection,vendor,model_family,product_line,family,access_class,downloads,likes,pipeline_tag,library_name,created_at,last_modified,private,gated,disabled,sha,license,base_model,language,datasets,tags_count,parameters_inferred_from_id,source_url,source_id",2026-05-16T17:13:09+00:00
livebench_judgments,60372,7,2026-05-16T07:06:27+00:00,livebench_model_judgment,livebench_model_judgment,,0.0,0.0,0.0,1.0,0.0,0.0,"question_id,task,model,score,turn,tstamp,category",2026-05-16T17:13:09+00:00
lmarena_full,862027,13,2026-05-16T07:06:27+00:00,lmarena_full_dataset,LMArena full leaderboard parquet snapshots,2026-05-14,1.0,0.0,0.9996,1.0,0.0,0.9726,"model_name,organization,license,rating,rating_lower,rating_upper,variance,vote_count,rank,category,leaderboard_publish_date,source_id,source_url",2026-05-16T17:13:09+00:00
openalex_ai_paper_authorships,22643,8,2026-05-16T07:06:27+00:00,openalex_works_api,OpenAlex works search API,,0.0,0.0,0.0,0.0,0.0,0.0,"work_id,author_id,author_name,author_position,countries,institution_ids,institution_names,source_id",2026-05-16T17:13:09+00:00
openalex_ai_paper_concepts,36079,6,2026-05-16T07:06:27+00:00,openalex_works_api,OpenAlex works search API,,0.0,0.0,0.0,1.0,0.0,0.0,"work_id,concept_id,concept_name,level,score,source_id",2026-05-16T17:13:09+00:00
openalex_ai_papers,3043,14,2026-05-16T07:06:27+00:00,openalex_works_api,OpenAlex works search API,2026-05-12,0.0,0.0,0.0,0.0,0.0,0.0,"work_id,doi,title,publication_date,publication_year,type,cited_by_count,is_open_access,oa_status,primary_location_source,query,abstract,source_url,source_id",2026-05-16T17:13:09+00:00
openalex_model_mentions,1074,4,2026-05-16T07:06:27+00:00,"openalex_works_api,derived_regex_mentions",OpenAlex works search API; Regex-derived model mentions from public text metadata,,0.0,0.0,0.0,0.0,0.0,0.0,"work_id,family,mention,source_id",2026-05-16T17:13:09+00:00
openllm_leaderboard_metrics_long,202583,8,2026-05-16T07:06:27+00:00,open_llm_leaderboard_results,Hugging Face Open LLM Leaderboard result JSON files,,0.0,0.0,0.0,0.6804,0.0,0.0,"model_path,model_name,benchmark,metric,value,raw_value,source_url,source_id",2026-05-16T17:13:09+00:00
openllm_leaderboard_results,1348,8,2026-05-16T07:06:27+00:00,open_llm_leaderboard_results,Hugging Face Open LLM Leaderboard result JSON files,,0.0,0.0,0.0,0.0,0.0,1.0,"model_path,model_name,author,result_path,result_timestamp,source_url,source_id,error",2026-05-16T17:13:09+00:00
openrouter_models_catalog,356,22,2026-05-16T07:06:27+00:00,openrouter_models_api,openrouter_models_api,2026-05-12,1.0,0.9129,1.0,0.0,1.0,1.0,"model_id,openrouter_id,canonical_model,vendor,source_vendor,model_family,product_line,family,release_date,release_precision,context_window,max_output_tokens,input_usd_per_1m,output_usd_per_1m,cache_read_usd_per_1m,cache_write_usd_per_1m,modality,input_modalities,output_modalities,access_class,source_url,source_id",2026-05-16T17:13:09+00:00
source_registry_rich,8,4,2026-05-16T07:06:27+00:00,internal,internal,,0.0,0.0,0.0,0.0,0.0,0.0,"source_id,name,url,type",2026-05-16T17:13:09+00:00
swebench_instance_outcomes,63500,9,2026-05-16T07:06:27+00:00,swe_bench_verified,SWE-bench Verified public experiment repository,,0.0,0.0,0.0,0.0,0.0,0.0,"submission,instance_id,repo,resolved,no_generation,no_logs,unresolved_or_not_listed,source_url,source_id",2026-05-16T17:13:09+00:00
swebench_submissions,134,13,2026-05-16T07:06:27+00:00,swe_bench_verified,SWE-bench Verified public experiment repository,,0.0,0.0,0.0,0.9478,0.0,0.5597,"submission,model,system_name,org,os_model,os_system,resolved,total,score,unit,source_url,source_id,error",2026-05-16T17:13:09+00:00
unified_model_index,7803,17,2026-05-16T07:06:27+00:00,"huggingface_models_api,openrouter_models_api,epoch_ai_models,open_llm_leaderboard_results",Hugging Face public models API; openrouter_models_api; epoch_ai_models; Hugging Face Open LLM Leaderboard result JSON files,2026-05-15,0.8243,0.0417,0.8272,0.0,0.0456,1.0,"entity_id,name,family,model_family,product_line,vendor_or_author,source_namespace,access_class,release_or_created_at,downloads,likes,parameters,source_url,context_window,input_usd_per_1m,output_usd_per_1m,training_compute_flop",2026-05-16T17:13:09+00:00
